,source,target
215,math_rachel,mekkaokereke
216,math_rachel,zeynep
217,math_rachel,sarahookr
218,math_rachel,random_walker
219,math_rachel,le_roux_nicolas
220,math_rachel,sidneyfussell
221,math_rachel,AbraarKaran
222,math_rachel,jeremyphoward
223,math_rachel,zeynep
224,math_rachel,AbraarKaran
225,math_rachel,mmitchell_ai
226,math_rachel,zeynep
227,math_rachel,hannawallach
228,math_rachel,zeynep
229,math_rachel,zeynep
230,math_rachel,rcalo
231,math_rachel,sarahfrier
232,math_rachel,jedmund
233,math_rachel,kareem_carr
234,math_rachel,rajiinio
235,math_rachel,timnitGebru
236,math_rachel,walkingrandomly
237,math_rachel,rondoftw
238,math_rachel,vineshgkannan
239,math_rachel,UpFromTheCracks
240,math_rachel,luckytran
241,math_rachel,noUpside
242,math_rachel,jeremyphoward
243,math_rachel,zeynep
244,math_rachel,jonmummolo
245,math_rachel,ahandvanish
246,math_rachel,Abeba
247,math_rachel,timnitGebru
248,math_rachel,hypervisible
249,math_rachel,nkjemisin
250,kdd_news,climagic
251,kdd_news,hacks4pancakes
252,kdd_news,goodfellow_ian
253,kdd_news,JeffDean
254,kdd_news,enhamner
255,kdd_news,enhamner
256,kdd_news,goodfellow_ian
257,kdd_news,illyuchenlin
258,kdd_news,pabbeel
259,kdd_news,jure
260,kdd_news,awmcmu
261,kdd_news,IBMResearch
262,kdd_news,AndrewYNg
263,kdd_news,AndrewYNg
264,kdd_news,mashable
265,kdd_news,KyleCranmer
266,kdd_news,siddharthb_
267,kdd_news,Miles_Brundage
268,kdd_news,shivon
269,kdd_news,igmlcom
270,kdd_news,zacharylipton
271,kdd_news,deaneckles
272,kdd_news,hardmaru
273,kdd_news,francoisfleuret
274,kdd_news,TechCrunch
275,kdd_news,mrogati
276,kdd_news,IBMResearch
277,kdd_news,ylecun
278,kdd_news,CaoHancheng
279,kdd_news,random_walker
280,kdd_news,techreview
281,kdd_news,gvenkataraman
282,kdd_news,afreedma
283,kdd_news,ylecun
284,kdd_news,jure
285,kdd_news,TechCrunch
286,kdd_news,MehrnooshSam
287,kdd_news,dirkvandenpoel
288,kdd_news,DrSenait
289,kdd_news,kdnuggets
290,kdd_news,PhysicsNews
291,kdd_news,2020_sdm
292,kdd_news,AmazonScience
293,kdd_news,2020_sdm
294,kdd_news,kdnuggets
295,kdd_news,dirkvandenpoel
296,kdd_news,Azure
297,kdd_news,enhamner
298,kdd_news,lingfei_wu
299,kdd_news,FrancescoBonchi
300,kdd_news,ffmagicbean
301,kdd_news,WikiResearch
302,kdd_news,rayidghani
303,kdd_news,akbc_conf
304,kdd_news,shobeirf
305,kdd_news,ericcolson
306,kdd_news,pmddomingos
307,kdd_news,ylecun
308,kdd_news,pinyuchenTW
309,kdd_news,kdnuggets
310,kdd_news,kdnuggets
311,kdd_news,acmeducation
312,kdd_news,etzioni
313,kdd_news,JohnAllenPaulos
314,kdd_news,radar
315,kdd_news,lingfei_wu
316,kdd_news,yanliu_usc
317,kdd_news,jure
318,kdd_news,tableau
319,kdd_news,WSDMSocial
320,kdd_news,mitultiwari
321,kdd_news,shobeirf
322,kdd_news,neilsgaikwad
323,kdd_news,tinaeliassi
324,kdd_news,erishabh
325,kdd_news,erishabh
326,kdd_news,kdnuggets
327,kdd_news,IDEA_KDD
328,kdd_news,rayidghani
329,kdd_news,ACM_President
330,kdd_news,pinyuchenTW
331,kdd_news,IDEA_KDD
332,jurafsky,neiltyson
333,jurafsky,radical_ai_
334,jurafsky,StanfordAILa
335,jurafsky,MSFTResearch
336,jurafsky,xkcdComic
337,jurafsky,stanfordnlp
338,jurafsky,sapinker
339,jurafsky,stanfordnlp
340,jurafsky,Tetreault_NLP
341,jurafsky,stanfordnlp
342,jurafsky,StanfordIRiSS
343,jurafsky,tablehopper
344,jurafsky,KitchenBee
345,jurafsky,TheWorld
346,jurafsky,techreview
347,jurafsky,_akpiper
348,jurafsky,drfeifei
349,jurafsky,NPRFood
350,jurafsky,msurd
351,jurafsky,aclmeeting
352,jurafsky,BostonGlobe
353,jurafsky,UChicago
354,jurafsky,TSchnoebelen
355,jurafsky,leraboroditsky
356,jurafsky,ryanroutledge
357,jurafsky,AngieCoiro
358,jurafsky,AnthonyMasonCBS
359,jurafsky,ethayarajh
360,jurafsky,EatingDirtSF
361,jurafsky,Fritinancy
362,jurafsky,rachellaudan
363,jurafsky,Uke7
364,jurafsky,TSchnoebelen
365,jurafsky,177MilkStreet
366,jurafsky,TheSporkful
367,jurafsky,rachellaudan
368,jurafsky,mythmenon
369,jurafsky,cc
370,jurafsky,Fritinancy
371,jurafsky,ShaneBergsma
372,ilyasut,michael_nielsen
373,ilyasut,sharifshameem
374,ilyasut,moyix
375,ilyasut,BillGates
376,ilyasut,gd
377,ilyasut,sharifshameem
378,ilyasut,OpenAI
379,ilyasut,OpenAI
380,ilyasut,OpenAI
381,ilyasut,OpenAI
382,ilyasut,eturner303
383,ilyasut,elonmusk
384,ilyasut,OpenAI
385,ilyasut,sama
386,ilyasut,OpenAI
387,ilyasut,sama
388,ilyasut,OpenAI
389,ilyasut,OpenAI
390,ilyasut,gd
391,ilyasut,OpenAI
392,ilyasut,BillGates
393,ilyasut,OpenAI
394,ilyasut,JeffDean
395,ilyasut,gd
396,ilyasut,OpenAI
397,ilyasut,CadeMetz
398,ilyasut,DeepMind
399,ilyasut,AlecRad
