tweet_id,username,retweets,retweet_name
1371600732181438466,uklobe,282,Ingressive4Good
1385521495854747652,uklobe,117,iBaino
1385177985377095680,uklobe,50,MsNemah
1388436817779773440,uamuzik,258,Light_2202
1388436875061481473,uamuzik,112,ESBocharova
1388436020471992323,uamuzik,28,tweetsNV
1384793913643388930,twomeynj,8,tommy_da_cat
1384793890079793152,twomeynj,5,ryanmacconville
1363002693229236224,twitoogle,16284,RexChapman
1381376577414389762,twitoogle,286,omarsar0
1371958723933917187,twitoogle,219,ai2_allennlp
1376909680992165888,twitoogle,3,joho_hideo
1386605372354568192,trustswz,4,ACMRecSys
1384775836218314755,trovdimi,10,stefandietze
1380910740245204994,trovdimi,2,dimi_z
1148359041514500097,trigk,829,math_rachel
1269663279783305216,trigk,314,slashML
1148769467414925312,trigk,54,pmbaumgartner
1388516832936710150,trendsinAI,491,FabienBrodie
1388517045944426500,trendsinAI,23,Eli_Krumova
1388515732091195394,trendsinAI,8,_timos_
1388515876316622850,trendsinAI,3,PrecisionEvolu1
1388515346336952326,trendsinAI,3,datagulf1
1388387546061844481,tonbotomoe,470,renegadeapostle
1388360175698989056,tonbotomoe,94,yookoisei
1388361533562949633,tonbotomoe,54,edzitron
1388460902861611011,tmasada,363,reshamas
1388406583961350150,tmasada,1,StatMLPapers
1388139274164477955,tjorphd,13,WebSciConf
1384794494651060224,tjorphd,7,k_triquet
1387719681730138114,tjorphd,5,TheoKL
1381919202265694210,tjorphd,1,StephenHosking
1388505577987379203,timgollins,247,neil_chilson
1388505392670461963,timgollins,16,NatRecordsScot
1388505614943457283,timgollins,3,neil_chilson
1387752952622981126,timgollins,3,BAC_Chair
1388505281521410051,timgollins,1,anjacks0n
1386692288194125826,think24menot,12,CIKM2021
1386692375125237766,think24menot,3,CIKM2021
1386690085421129731,think24menot,3,TheDASHLa
1386690065577897992,think24menot,3,TheDASHLa
1386690107722268673,think24menot,2,TheDASHLa
1376983750441984001,theujjwal9,164,rsalakhu
1388167834316926978,theujjwal9,111,facebookai
1377508376985280513,theujjwal9,105,KevinKaichuang
1386200867494273025,theujjwal9,104,shashankmehta05
1386345439901851651,theujjwal9,50,mohitban47
1388192874919960576,therealquantran,363,reshamas
1386198522106507266,therealquantran,145,hardmaru
1363560596310876160,therealquantran,99,jeremyphoward
1364506979465523203,therealquantran,80,jeremyphoward
1371994758222995459,therealquantran,49,amaarora
1364496231167238151,the_data_dev,997,pushmatrix
1374183615819509761,the_data_dev,512,smashingmag
1374457296256868358,the_data_dev,279,SatyaRajpurohit
1373474169703124992,the_data_dev,57,argyleink
1388392439451316226,the_data_dev,2,nghuuphuoc
1388462787366686721,theNeomatrix369,1,yarasenger
1388462768374812686,theNeomatrix369,1,eyalwir
1382456574652907522,thanhmvu,10087,SteveStuWill
1385484614123335681,thanhmvu,338,AndrewYNg
1382768868125474817,thanhmvu,103,CSProfKGD
1380185565375631370,thanhmvu,27,twominutepapers
1385484944210894849,thanhmvu,20,MattNiessner
1388477188622602243,tetsuyasakai,2186,nasukoB
1388498432952659968,tetsuyasakai,1478,uzuratukune3
1388476853300580359,tetsuyasakai,990,yukiho_dx
1388478521773674498,tetsuyasakai,276,rao_rug
585430214454321153,teogiord,175,richardbranson
585392295836426241,teogiord,35,ChrisTerryPhoto
585312009811468288,teogiord,7,TravellerAU
1370053186191388673,techbro_partII,439,Dodgers
1388185236983455755,tchambers,981,What46HasDone
1388125636049448960,tchambers,942,joshtpm
1388297339073441793,tchambers,139,BradleyWhitford
1388301654504742914,tchambers,137,mdywe
1388208469099044868,tchambers,8,KrisGoldsmith85
1367021731869646848,tattinsphue,638,omarsar0
1207163287504224261,tattinsphue,23,DataScienceCtrl
1207163241740156928,tattinsphue,9,danieljpeter
1320537326934605825,tattinsphue,1,RagulMohankumar
1388502745301221378,tarundsnaol,385,IAF_MCC
1388502722278694913,tarundsnaol,76,hvgoenka
1388502680906043392,tarundsnaol,45,UPGovt
1388514210590588930,tarundsnaol,26,sulata_ghosh
1388502701474869249,tarundsnaol,8,purnachaitanya
1388068013753110530,talkdatatomee,439,hadleywickham
1388045160420872198,talkdatatomee,148,arasbozkurt
1387859516147081218,talkdatatomee,25,streamlit
1387859580282183681,talkdatatomee,11,marksaroufim
1387859655901261824,talkdatatomee,1,mlopscommunity
1385637083218288642,tahsin_mayeesha,237,JacquelineWarwi
1387088040493936642,swarnasras,119,nattyover
1388177879645655040,swarnasras,108,NewYorker
1387088868529242115,swarnasras,76,PhysicsToday
1387088330026749957,swarnasras,13,glichand
1387090851487096838,swarnasras,12,QuantaMagazine
1387840322361692162,supriya_gdptl,2945,harattttttt
1350546833806802945,supriya_gdptl,130,cmcaram
1385710826753978369,supriya_gdptl,55,WiMLworkshop
1349398535230291970,supriya_gdptl,5,charusharma1991
1357441717532696581,supriya_gdptl,4,chydro
1381228768648302594,sumitsethy,101,ResearcHersCode
1382541802792620033,sumitsethy,80,ak92501
1381088183065055232,sumitsethy,30,alfcnz
1381087784144756739,sumitsethy,23,fooobar
1382543576723181572,sumitsethy,9,amy_ta
1388482913969135618,subhobrata1,52,freeCodeCamp
1388472790462832640,subhobrata1,20,IAugenstein
1388472740571541504,subhobrata1,7,icymi_py
1388472750956707847,subhobrata1,1,oss_py
1388472771294892035,subhobrata1,0,LinearAlgebraSO
1333092333210923008,subham_st,245,VijayRohitFC
1333091100114907138,subham_st,116,Being_Humor
1362342366858809346,subham_st,94,ESPNcricinfo
1388397341703655424,strpeters,1,SCHUFA_Dialog
1388396559398801409,strpeters,1,SCHUFA_Dialog
1387076440097763332,strpeters,1,SCHUFA_Dialog
1387076388801351684,strpeters,1,SCHUFA_Dialog
1388313791214010369,stefhaustein,10,DORAssessment
